Spectral Radius,Units,Memory Capacity,R2 Scores
0.5,100,1.4621007220058615,"[0.018600972905024937, 0.020922033611549762, 0.01960165638728173, 0.020024037801611216, 0.008886930812108118, 0.020829295301492134, 0.0028630559380689036, 0.01759712583065709, 0.01614973799922459, 0.016079696504780916, 0.011680598072244197, 0.005191960251438532, 0.012988033782707298, 0.005946874712199679, 0.012173814482696166, 0.013123447483271544, 0.015190910201022256, 0.013818811730076708, 0.013949348449909027, 0.006399607191154955, 0.01722555300506723, 0.018184814433423124, 0.01991299915355904, 0.01820407113877609, 0.008714865642515002, 0.010606281698695708, 0.02326786157229832, 0.007783991241636423, 0.021044332501804375, 0.009312670009240742, 0.01712725564016837, 0.007235948412795845, 0.003196931968951766, 0.013608976162939879, 0.019797450550494977, 0.02186395068228808, 0.0196126514950421, 0.011184723033079047, 0.005633612349786321, 0.01931672131268025, 0.017300209260968757, 0.02072026683222772, 0.0184107837853148, 0.004616859090154968, 0.004323650247513466, 0.01497637936828533, 0.011449254686591637, 0.020423545020830214, 0.020649775667366366, 0.01673378012618809, 0.018118961002024703, 0.011997752895365199, 0.008385517499471695, 0.01883885061273327, 0.016631443571992977, 0.011120926320042246, 0.015917321700199438, 0.019429966446023572, 0.017370411236755867, 0.006727557289530228, 0.017014099811459515, 0.016990241842933962, 0.015159805313759156, 0.01972369551850961, 0.016795768295200686, 0.0168585764296193, 0.01777212312866261, 0.013717866586272387, 0.0180619303990619, 0.010146074678165529, 0.016453164133824583, 0.00895912247965669, 0.01692582804432563, 0.017856891321791024, 0.020070694627232988, 0.018332201160472517, 0.020285671627715773, 0.009827495523304197, 0.016141797619960818, 0.008872814670303986, 0.009634236804621166, 0.017553012890276665, 0.007602635275209324, 0.01721494668684398, 0.0054172857500300875, 0.019022848337368337, 0.02009578867300399, 0.015073273236699491, 0.015006365432734259, 0.015740551941725522, 0.019896653971717693, 0.007893511410468679, 0.007631477801921416, 0.017050500625632292, 0.015839303928132376, 0.008470144166946136, 0.018996531977766518, 0.016610799068947912, 0.022311370022482624, 0.010076796677757294]"
0.5,100,1.1088512195927336,"[0.00892353650211386, 0.0011975260412853128, 0.025381943490041414, 0.0053524216804961, 0.0052659179014897806, 0.0024436514844627943, 0.003941964871211678, 0.002774978113623261, 0.0155257589548069, 0.0038085126119707935, 0.0073076906754822035, 0.005214298424718766, 0.0025098511847543303, 0.002117548113671708, 0.0022076907702819337, 0.0027763058745740032, 0.014453979366874092, 0.006625477354922138, 0.004818683643195931, 0.0027779669054947, 0.007247207201643735, 0.007096955906944591, 0.017209458258633403, 0.002322468476820161, 0.009342961423829288, 0.003960871377144515, 0.023132949007217074, 0.006339804068984489, 0.021122802152679143, 0.01783931088787094, 0.009483588777059015, 0.007813178269003851, 0.0022620814911303855, 0.002541905812222911, 0.0037923266482483564, 0.0029009972138024365, 0.020500010386213185, 0.02343770338430118, 0.009586892383231738, 0.013170703738653367, 0.017190413425358764, 0.009178143168210307, 0.013548857648356338, 0.007484686441726063, 0.01600783074360801, 0.007390387687275735, 0.005891753693954449, 0.0047148455464629535, 0.017451102885982173, 0.015275649298441385, 0.0076489048601035, 0.008697861414920238, 0.020726416117064828, 0.010383064686110943, 0.006864735451128312, 0.005168463630781828, 0.022162657138387498, 0.019095734758175165, 0.008196549887651061, 0.007119565115383031, 0.015591152701970756, 0.00756535072309239, 0.018821595339928554, 0.018953321449560412, 0.01586806571271837, 0.0033709798276259084, 0.005395894200634133, 0.009831780568042792, 0.021741223510016394, 0.010190228424977743, 0.01619085229252004, 0.015119801361222596, 0.003502783776438756, 0.008900886831148869, 0.01686543516678407, 0.005407265235185976, 0.0196096486751679, 0.017218698285577094, 0.015182989768693922, 0.01097767068416644, 0.015497355574733085, 0.009565741867323507, 0.01730091791643107, 0.015962062251526188, 0.00898223979545043, 0.01676344497059934, 0.007973481444652042, 0.014931603035308494, 0.016767402977284074, 0.01582923221692023, 0.01657961711809408, 0.009306048044603887, 0.01736441842546621, 0.016561481066387773, 0.006379607151610345, 0.0103811875844938, 0.01606329179190391, 0.021268279717012062, 0.01085993084252701, 0.02148074683474488]"
